Supplier_Lead_Time,Inventory_Levels,Order_Frequency,Delivery_Performance,Cost_Per_Unit
17.4,465,4,75,32.02
8.5,348,9.5,84.5,22.71
18.5,213,5.6,77.4,32.91
8.1,342,10,90.9,24.26
7.9,105,9,90.7,23.46
19.1,505,4.9,78.3,33.84
16.5,452,6.5,77.9,31.33
8,286,8,86.6,23.46
11.8,350,8.2,83.4,28.62
15.5,242,7.1,79,32.13
5.7,283,11.1,89.6,20.55
12.2,253,8.3,83.1,28.02
6.1,455,9.8,89.3,23.08
16.3,215,6.1,80.1,29.99
18.7,459,3.7,72.9,35.41
13.6,245,5.5,82.1,28.65
6.3,211,9.9,87.6,22.18
6.9,348,9.5,86.5,22.46
15.3,399,4.6,76,29.24
7.2,445,9.6,92.5,23.85
14.9,291,6.2,76.4,28.91
15.7,266,6.5,81.9,28.5
14.4,508,5.9,78.5,30.52
14.9,207,7.1,78,30.52
7.3,365,9.7,91.1,22.66
13.5,412,5.3,82.1,28.6
6.9,176,10.1,87,21.65
7.7,435,10,87.1,23.04
5.8,75,9.3,94,19.91
13.3,480,6.9,84.4,27.76
12.9,388,6.6,82.7,28.91
15.3,410,5.3,79.7,30.97
17.8,534,6.2,76.2,34.09
17.2,294,6.4,81.2,31.75
6.9,178,9.7,86.9,24.13
16.3,161,5.6,77.4,33.37
9,166,8,88.5,25.89
6.5,342,10.4,87.8,22
19.8,297,5.4,77.5,34.64
18.6,319,5.5,78.8,32.47
14.3,200,5.1,78,30.97
5.8,252,8.4,94.8,21.28
5.8,108,10.3,89,19.48
16.8,414,4.3,74.1,32.79
7.4,66,7.8,92.5,23.83
9.4,331,9.2,87.6,25.14
19.1,395,4.9,71.9,33.87
15,393,5.7,83.1,28.31
15.3,161,4.5,75.6,30.71
10.6,233,7.1,83,27.66
10,65,9,83.3,25.86
16,526,6.2,81,29.32
17.7,359,6.3,73.1,32.74
17,333,4.5,81,31.98
18.5,198,3.7,78.1,33.03
14.1,441,7.6,77.5,28.87
15.8,323,4.5,78.2,29.71
18.3,463,4.3,79.2,31.87
5.1,85,9.4,88.8,20.6
11.7,115,6.8,83,27.35
12,241,7.9,80.5,28.65
13.7,231,7.7,79.7,30.07
18.5,390,3.9,75.1,35.02
7.5,371,8.7,91.6,24.11
12.3,385,7.5,84.5,27.96
17.6,317,4.2,74.3,31.3
12.4,185,7.6,84.3,26.02
16.2,453,5.7,75.7,32.14
18.3,238,4.9,75.8,34.88
11.6,259,8,82,28.87
